"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"9";"9";"12";"JORNALISMO - NATAL - N";"JORNALISMO";"01";"3000";"420";"132";"";"";"2017";"1";"1980";"132";"300";"";"";"";"";"60";"420";"300";
"8";"8";"12";"MATEMÁTICA - CAICÓ - MN - LICENCIATURA";"MATEMÁTICA";"06";"3210";"210";"160";"99";"98";"2012";"1";"2400";"160";"600";"";"";"";"";"15";"0";"0";
"11";"11";"16";"ENGENHARIA BIOMÉDICA - NATAL - N - FORMAÇÃO";"ENGENHARIA BIOMÉDICA";"02";"3685";"370";"88";"32";"20";"2016";"1";"2880";"88";"250";"";"";"";"";"60";"0";"185";
"8";"8";"12";"LETRAS - LÍNGUA PORTUGUESA - NATAL - M";"LETRAS - LÍNGUA PORTUGUESA";"03A";"2850";"360";"126";"";"";"2016";"2";"1890";"126";"400";"";"";"";"";"15";"0";"200";
"8";"8";"12";"CIÊNCIAS BIOLÓGICAS - NATAL - I - LICENCIATURA";"CIÊNCIAS BIOLÓGICAS";"01A";"2910";"120";"146";"30";"20";"2009";"2";"2190";"146";"600";"";"";"";"";"60";"0";"0";
"9";"9";"14";"LETRAS - LÍNGUA ESPANHOLA - CURRAIS NOVOS - N";"LETRAS - LÍNGUA ESPANHOLA";"02A";"3060";"420";"136";"";"";"2016";"2";"2040";"136";"400";"";"";"";"";"180";"0";"200";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"MPI2015";"525";"270";"25";"16";"12";"2015";"2";"105";"7";"150";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM CIÊNCIAS DA REABILITAÇÃO/FACISA";"CRTMS01";"300";"120";"8";"";"";"2016";"1";"180";"0";"0";"30";"24";"12";"";"0";"";"";
"24";"48";"54";"";"DOUTORADO EM ADMINISTRAÇÃO";"D2013";"540";"210";"24";"20";"12";"2013";"1";"330";"10";"0";"54";"48";"24";"";"1";"";"";
"4";"5";"6";"EDUCAÇÃO FÍSICA - NATAL - N - LICENCIATURA";"EDUCAÇÃO FÍSICA";"01";"1220";"0";"52";"24";"14";"2012";"1";"980";"52";"240";"";"";"";"";"30";"";"";
"12";"18";"24";"";"MESTRADO PROFISSIONAL EM DESIGN";"01";"315";"0";"0";"12";"6";"2012";"1";"315";"0";"0";"24";"18";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM GEODINÂMICA E GEOFÍSICA";"04";"360";"300";"24";"24";"16";"2004";"1";"60";"4";"0";"30";"24";"12";"";"1";"";"";
"8";"8";"10";"LICENCIATURA EM CIÊNCIAS SOCIAIS - NATAL - MT - LICENCIATURA";"LICENCIATURA EM CIÊNCIAS SOCIAIS";"01";"2925";"540";"0";"28";"24";"2014";"1";"1740";"0";"645";"";"";"";"";"240";"0";"0";
"5";"5";"8";"MATEMÁTICA - NATAL - M - LICENCIATURA";"MATEMÁTICA";"01";"1380";"0";"88";"23";"16";"2012";"2";"1320";"88";"60";"";"";"";"";"60";"";"";
"24";"42";"54";"";"DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE";"Dot2015";"600";"270";"40";"20";"15";"2015";"1";"330";"22";"0";"54";"42";"24";"";"1";"";"";
"24";"48";"60";"";"DOUTORADO EM DESENVOLVIMENTO E MEIO AMBIENTE";"01";"345";"0";"2";"20";"8";"2010";"1";"345";"2";"0";"60";"48";"24";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM CIÊNCIAS FARMACÊUTICAS";"05";"360";"255";"17";"24";"12";"2005";"1";"105";"0";"0";"30";"24";"12";"";"1";"";"";
