"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"24";"36";"48";"";"DOUTORADO EM NANOTECNOLOGIA FARMACÊUTICA";"DOUT";"0";"0";"0";"16";"12";"2013";"2";"0";"0";"0";"48";"36";"24";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM ENGENHARIA QUÍMICA";"M09";"360";"120";"24";"16";"12";"2010";"1";"240";"16";"0";"30";"24";"12";"";"1";"";"";
"7";"7";"11";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"32";"42";"24";"2016";"1";"2040";"32";"0";"";"";"";"";"60";"0";"120";
"24";"48";"54";"";"DOUTORADO EM CIÊNCIAS FARMACÊUTICAS";"DR2015";"540";"390";"26";"16";"12";"2015";"2";"150";"0";"0";"54";"48";"24";"";"1";"";"";
"24";"48";"54";"";"DOUTORADO EM CIÊNCIA E ENGENHARIA DE MATERIAIS";"DOUT11";"540";"180";"36";"16";"12";"2011";"1";"360";"24";"0";"54";"48";"24";"";"1";"";"";
"18";"24";"24";"";"MESTRADO PROFISSIONAL EM ARQUITETURA, PROJETO E MEIO AMBIENTE";"MP01";"225";"0";"15";"12";"8";"2010";"2";"225";"15";"0";"24";"24";"18";"";"0";"";"";
"10";"10";"15";"ENGENHARIA MECÂNICA - NATAL - MT - FORMAÇÃO";"ENGENHARIA MECÂNICA";"06";"3850";"390";"0";"29";"25";"2015";"2";"3030";"0";"220";"";"";"";"";"260";"0";"210";
"24";"48";"60";"";"DOUTORADO EM ENGENHARIA QUÍMICA";"08";"450";"270";"30";"12";"9";"2005";"1";"180";"12";"0";"60";"48";"24";"";"1";"";"";
"8";"8";"12";"ADMINISTRAÇÃO - NATAL - M - BACHARELADO";"ADMINISTRAÇÃO";"04B";"3075";"300";"165";"30";"20";"2011";"1";"2595";"165";"180";"";"";"";"";"15";"0";"0";
"24";"24";"24";"";"RESIDÊNCIA MÉDICA EM CARDIOLOGIA";"CAR0002";"11928";"5760";"0";"2880";"2880";"2010";"1";"18";"0";"6150";"";"";"";"";"5760";"";"";
"8";"8";"12";"CIÊNCIAS BIOLÓGICAS - NATAL - MT - LICENCIATURA";"CIÊNCIAS BIOLÓGICAS";"05B";"3180";"120";"164";"32";"24";"2011";"1";"2460";"164";"600";"";"";"";"";"60";"0";"0";
"7";"7";"10";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"1020";"0";"32";"24";"2015";"1";"1260";"0";"0";"";"";"";"";"120";"0";"120";
"9";"9";"14";"LETRAS - LÍNGUA ESPANHOLA - NATAL - N";"LETRAS - LÍNGUA ESPANHOLA";"01A";"2880";"300";"132";"";"";"2016";"2";"1980";"132";"400";"";"";"";"";"15";"0";"200";
"7";"7";"11";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"0";"42";"24";"2016";"1";"2040";"0";"0";"";"";"";"";"60";"0";"120";
"8";"8";"12";"FILOSOFIA - NATAL - N - LICENCIATURA";"FILOSOFIA";"05";"2820";"660";"104";"28";"20";"2015";"1";"1560";"104";"400";"";"";"";"";"60";"0";"200";
"5";"7";"9";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"36";"32";"24";"2016";"1";"2040";"36";"0";"";"";"";"";"60";"0";"120";
"7";"7";"11";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"28";"32";"7";"2016";"1";"2040";"28";"0";"";"";"";"";"60";"0";"120";
"6";"6";"10";"CIÊNCIAS E TECNOLOGIA - NATAL - T - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"28";"32";"24";"2016";"1";"2040";"28";"0";"";"";"";"";"60";"0";"120";
"10";"10";"15";"FISIOTERAPIA - SANTA CRUZ - MT - FORMAÇÃO";"FISIOTERAPIA";"01B";"4020";"414";"47";"34";"28";"2014";"1";"3360";"47";"246";"";"";"";"";"30";"0";"0";
"24";"48";"50";"";"DOUTORADO EM FILOSOFIA";"DFIL15";"180";"150";"10";"36";"24";"2015";"2";"30";"0";"0";"50";"48";"24";"";"0";"";"";
"8";"8";"14";"HISTÓRIA - CAICÓ - MT - LICENCIATURA";"HISTÓRIA";"03";"3000";"420";"132";"28";"24";"2013";"1";"1980";"132";"600";"";"";"";"";"30";"0";"0";
"10";"10";"15";"CIÊNCIAS CONTÁBEIS - NATAL - N - BACHARELADO";"CIÊNCIAS CONTÁBEIS";"04";"3000";"300";"160";"28";"24";"2015";"1";"2400";"160";"140";"";"";"";"";"60";"0";"160";
"10";"10";"14";"HISTÓRIA - NATAL - M - BACHARELADO";"HISTÓRIA";"02";"2570";"480";"108";"32";"20";"2004";"1";"1620";"108";"470";"";"";"";"";"60";"0";"0";
"36";"36";"36";"";"RESIDÊNCIA MÉDICA EM UROLOGIA";"UROHUOL";"2640";"200";"0";"1";"1";"2005";"1";"0";"0";"2440";"";"";"";"";"2220";"";"";
"8";"8";"12";"MATEMÁTICA - NATAL - MT - LICENCIATURA";"MATEMÁTICA";"06";"2820";"300";"128";"34";"22";"2015";"1";"1920";"128";"400";"";"";"";"";"60";"0";"200";
"8";"8";"12";"SERVIÇO SOCIAL - NATAL - M - BACHARELADO";"SERVIÇO SOCIAL";"03B";"2850";"285";"132";"26";"26";"2011";"1";"1980";"132";"585";"";"";"";"";"120";"";"";
"8";"10";"15";"QUÍMICA - NATAL - N - LICENCIATURA";"QUÍMICA";"02A";"3165";"240";"153";"30";"26";"2011";"1";"2295";"153";"630";"";"";"";"";"180";"0";"0";
"24";"24";"24";"";"RESIDÊNCIA MÉDICA EM NEUROLOGIA PEDIÁTRICA";"NRP0001";"30";"0";"2";"";"";"2010";"1";"30";"2";"0";"";"";"";"";"0";"";"";
"7";"7";"10";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"0";"42";"24";"2016";"1";"2040";"0";"0";"";"";"";"";"60";"0";"120";
"9";"10";"14";"CIÊNCIAS BIOLÓGICAS - NATAL - N - LICENCIATURA";"CIÊNCIAS BIOLÓGICAS";"02C";"3180";"120";"164";"32";"20";"2011";"1";"2460";"164";"600";"";"";"";"";"60";"0";"0";
"10";"10";"16";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"PSICOLOGIA";"04C";"4085";"300";"44";"99";"98";"2010";"1";"2295";"44";"1290";"";"";"";"";"15";"0";"200";
"12";"24";"30";"";"MESTRADO EM PSICOBIOLOGIA";"05";"150";"0";"10";"24";"8";"2006";"1";"150";"10";"0";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM GEOGRAFIA";"01";"240";"240";"16";"20";"5";"2005";"1";"0";"0";"0";"30";"24";"12";"";"1";"";"";
"8";"8";"12";"TEATRO - NATAL - M - LICENCIATURA";"TEATRO";"02";"3240";"510";"126";"32";"28";"2014";"1";"1890";"126";"840";"";"";"";"";"60";"";"";
"8";"8";"12";"TEATRO - NATAL - M - LICENCIATURA";"TEATRO";"02";"3240";"510";"126";"32";"28";"2014";"1";"1890";"126";"840";"";"";"";"";"60";"";"";
"12";"24";"30";"";"MESTRADO EM CIÊNCIAS FLORESTAIS";"MCFL1";"360";"240";"24";"24";"12";"2012";"1";"120";"8";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"12";"TEATRO - NATAL - M - LICENCIATURA";"TEATRO";"02";"3240";"510";"126";"32";"28";"2014";"1";"1890";"126";"840";"";"";"";"";"60";"";"";
"8";"8";"12";"TEATRO - NATAL - M - LICENCIATURA";"TEATRO";"02";"3240";"510";"126";"32";"28";"2014";"1";"1890";"126";"840";"";"";"";"";"60";"";"";
"9";"9";"14";"FARMÁCIA - NATAL - MT - FORMAÇÃO";"FARMÁCIA";"05B";"4200";"360";"198";"99";"98";"2011";"1";"2970";"198";"870";"";"";"";"";"15";"0";"0";
"7";"7";"11";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"270";"26";"32";"24";"2016";"1";"2010";"26";"0";"";"";"";"";"60";"0";"120";
"8";"8";"12";"METEOROLOGIA - NATAL - T - BACHARELADO";"METEOROLOGIA";"01";"3300";"360";"156";"26";"24";"2014";"1";"2340";"156";"420";"";"";"";"";"60";"0";"180";
"8";"8";"12";"TEATRO - NATAL - M - LICENCIATURA";"TEATRO";"02";"3240";"510";"134";"32";"28";"2014";"1";"2010";"134";"720";"";"";"";"";"60";"0";"0";
"10";"10";"15";"LETRAS - LÍNGUA PORTUGUESA - NATAL - N";"LETRAS - LÍNGUA PORTUGUESA";"04";"2850";"360";"126";"";"";"2016";"2";"1890";"126";"400";"";"";"";"";"60";"0";"200";
"10";"10";"14";"ENGENHARIA DE MATERIAIS - NATAL - T - FORMAÇÃO";"ENGENHARIA DE MATERIAIS";"02";"3680";"420";"80";"32";"24";"2016";"1";"2820";"80";"250";"";"";"";"";"60";"0";"190";
"10";"10";"15";"FISIOTERAPIA - NATAL - MT - FORMAÇÃO";"FISIOTERAPIA";"04";"4260";"450";"173";"42";"30";"2013";"2";"2595";"173";"1215";"";"";"";"";"60";"0";"0";
"8";"8";"12";"DANÇA - NATAL - N - LICENCIATURA";"DANÇA";"01B";"2820";"780";"88";"24";"16";"2014";"1";"1320";"88";"720";"";"";"";"";"60";"0";"0";
"4";"8";"12";"TURISMO - CURRAIS NOVOS - MT - BACHARELADO";"TURISMO";"01B";"3110";"240";"152";"36";"24";"2013";"1";"2280";"152";"590";"";"";"";"";"60";"540";"0";
"9";"9";"12";"ENFERMAGEM - NATAL - MT - FORMAÇÃO";"ENFERMAGEM";"04";"4220";"120";"212";"99";"98";"2009";"1";"3180";"212";"920";"";"";"";"";"15";"0";"0";
"12";"24";"30";"";"MESTRADO EM SERVIÇO SOCIAL";"MSS1";"300";"120";"20";"24";"12";"2011";"2";"180";"12";"0";"30";"24";"12";"";"1";"";"";
"5";"7";"9";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"270";"30";"32";"24";"2016";"1";"2010";"30";"0";"";"";"";"";"60";"0";"120";
"13";"13";"20";"FARMÁCIA - NATAL - N - FORMAÇÃO";"FARMÁCIA";"01";"4200";"360";"198";"99";"98";"2009";"1";"2970";"198";"870";"";"";"";"";"15";"0";"0";
"8";"8";"16";"ESTATÍSTICA - NATAL - M - FORMAÇÃO";"ESTATÍSTICA";"04C";"3005";"780";"122";"52";"26";"2012";"1";"1830";"122";"395";"";"";"";"";"15";"0";"0";
"18";"24";"30";"";"MESTRADO EM FILOSOFIA";"01";"0";"0";"0";"18";"9";"2001";"1";"0";"0";"0";"30";"24";"18";"";"0";"";"";
"10";"10";"15";"CIÊNCIAS CONTÁBEIS - NATAL - M - BACHARELADO";"CIÊNCIAS CONTÁBEIS";"04";"3000";"300";"160";"28";"24";"2015";"1";"2400";"160";"140";"";"";"";"";"60";"0";"160";
"8";"8";"12";"GEOGRAFIA - NATAL - M - BACHARELADO";"GEOGRAFIA";"04B";"2430";"240";"126";"99";"98";"2014";"1";"1890";"126";"300";"";"";"";"";"60";"";"0";
"12";"24";"36";"";"MESTRADO EM ECOLOGIA";"01";"300";"0";"0";"20";"12";"2009";"1";"300";"0";"0";"36";"24";"12";"";"0";"";"";
"10";"10";"16";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"PSICOLOGIA";"04C";"4085";"300";"44";"99";"98";"2010";"1";"2295";"44";"1290";"";"";"";"";"15";"0";"200";
"10";"10";"16";"ENGENHARIA TÊXTIL - NATAL - TN - FORMAÇÃO";"ENGENHARIA TÊXTIL";"02";"3790";"450";"201";"32";"25";"2011";"1";"3015";"201";"325";"";"";"";"";"30";"0";"0";
"8";"8";"12";"QUÍMICA - NATAL - M - BACHARELADO";"QUÍMICA";"01B";"2845";"180";"157";"30";"26";"2011";"1";"2355";"157";"310";"";"";"";"";"180";"0";"0";
"8";"8";"12";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - T";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"01";"2700";"300";"124";"";"";"2017";"1";"1860";"124";"340";"";"";"";"";"300";"0";"200";
"10";"28";"32";"";"CLINICA MEDICA";"1";"5388";"0";"0";"0";"0";"2010";"1";"0";"0";"5388";"";"";"";"";"";"";"";
"58";"60";"72";"";"RESIDÊNCIA MÉDICA EM NEUROCIRURGIA";"NCR0001";"12775";"100";"0";"86";"66";"2006";"1";"0";"0";"12675";"";"";"";"";"1440";"";"";
"24";"48";"54";"";"DOUTORADO EM FÍSICA";"04";"600";"360";"40";"54";"48";"2005";"1";"240";"16";"0";"54";"48";"24";"";"0";"";"";
"12";"12";"12";"";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"OTG0101";"10";"0";"0";"";"";"2012";"1";"0";"0";"10";"";"";"";"";"0";"";"";
"12";"12";"12";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CIG0505";"2258";"0";"0";"";"";"2011";"1";"0";"0";"1908";"";"";"";"";"0";"";"";
"24";"48";"60";"";"DOUTORADO EM NEUROCIÊNCIAS";"02";"360";"180";"12";"24";"12";"2009";"2";"180";"0";"0";"60";"48";"24";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM ESTUDOS URBANOS E REGIONAIS";"EUR2017";"480";"180";"32";"";"";"2017";"1";"300";"20";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"12";"HISTÓRIA - - NATAL - I - LICENCIATURA";"HISTÓRIA -";"01";"2835";"300";"129";"25";"22";"2014";"1";"1935";"129";"600";"";"";"";"";"60";"680";"0";
"8";"8";"12";"EDUCAÇÃO FÍSICA - NATAL - MT - LICENCIATURA";"EDUCAÇÃO FÍSICA";"01A";"3035";"780";"106";"32";"24";"2011";"1";"1590";"106";"665";"";"";"";"";"60";"0";"0";
"6";"9";"13";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"TECNOLOGIA DA INFORMAÇÃO";"02";"2600";"300";"0";"32";"20";"2014";"1";"2160";"0";"0";"";"";"";"";"30";"0";"140";
"36";"48";"60";"";"DOUTORADO EM ECOLOGIA";"04";"525";"225";"15";"24";"12";"2009";"1";"300";"0";"0";"60";"48";"36";"";"0";"";"";
"8";"8";"12";"BIBLIOTECONOMIA - NATAL - T - BACHARELADO";"BIBLIOTECONOMIA";"02B";"2880";"240";"152";"99";"98";"2011";"1";"2280";"152";"360";"";"";"";"";"15";"";"";
"8";"8";"14";"ECOLOGIA - NATAL - MT - BACHARELADO";"ECOLOGIA";"02";"2845";"300";"137";"36";"20";"2016";"1";"2055";"137";"345";"";"";"";"";"15";"0";"145";
"8";"8";"14";"ECOLOGIA - NATAL - N - BACHARELADO";"ECOLOGIA";"02";"2845";"300";"137";"36";"20";"2016";"1";"2055";"137";"345";"";"";"";"";"15";"0";"145";
"24";"48";"54";"";"DOUTORADO EM GEODINÂMICA E GEOFÍSICA";"02";"600";"510";"40";"24";"12";"2004";"1";"90";"6";"0";"54";"48";"24";"";"1";"";"";
"24";"48";"60";"";"DOUTORADO EM TURISMO";"DTUR-1";"540";"420";"36";"32";"16";"2014";"2";"120";"8";"0";"60";"48";"24";"";"0";"";"";
"10";"10";"15";"CIÊNCIAS ECONÔMICAS - NATAL - N - BACHARELADO";"CIÊNCIAS ECONÔMICAS";"03";"3000";"540";"144";"28";"20";"2010";"1";"2160";"144";"300";"";"";"";"";"15";"0";"0";
"24";"48";"54";"";"DOUTORADO EM BIOINFORMÁTICA";"DT2016";"540";"390";"26";"16";"12";"2016";"1";"150";"0";"0";"54";"48";"24";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM BIOINFORMÁTICA";"Mbif001";"360";"180";"12";"16";"12";"2016";"1";"180";"0";"0";"30";"24";"12";"";"0";"";"";
"24";"48";"60";"";"DOUTORADO EM BIOTECNOLOGIA";"01";"210";"0";"14";"20";"8";"2006";"2";"210";"14";"0";"60";"48";"24";"Migrados do Ponto@. Pelo fato de aparecer como currículo duplicado, no sigaa, ele foi desativado";"1";"";"";
"8";"8";"12";"FILOSOFIA - NATAL - N - BACHARELADO";"FILOSOFIA";"03";"2400";"1260";"60";"28";"20";"2015";"1";"900";"60";"120";"";"";"";"";"60";"0";"120";
"9";"9";"14";"FÍSICA - NATAL - N - LICENCIATURA";"FÍSICA";"03A";"2805";"95";"140";"36";"20";"2011";"1";"2100";"140";"610";"";"";"";"";"30";"0";"0";
"10";"10";"16";"DIREITO - NATAL - M - BACHARELADO";"DIREITO";"04A";"3700";"435";"180";"26";"24";"2010";"2";"2700";"180";"565";"";"";"";"";"60";"0";"0";
"10";"10";"15";"CIÊNCIAS ECONÔMICAS - NATAL - M - BACHARELADO";"CIÊNCIAS ECONÔMICAS";"03";"3000";"540";"144";"28";"20";"2010";"2";"2160";"144";"300";"";"";"";"";"15";"0";"0";
"8";"8";"14";"CIÊNCIAS SOCIAIS - NATAL - N - LICENCIATURA";"CIÊNCIAS SOCIAIS";"03D";"2860";"300";"120";"32";"20";"2013";"1";"1800";"120";"760";"";"";"";"";"2";"";"";
"8";"8";"12";"LETRAS - FRANCÊS - NATAL - M";"LETRAS - FRANCÊS";"02B";"2820";"360";"124";"";"";"2016";"2";"1860";"124";"400";"";"";"";"";"15";"0";"200";
"10";"10";"16";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"PSICOLOGIA";"04C";"3995";"300";"46";"99";"98";"2009";"1";"2385";"46";"1110";"";"";"";"";"15";"0";"200";
"9";"9";"14";"HISTÓRIA - NATAL - M - LICENCIATURA";"HISTÓRIA";"2C";"2820";"600";"108";"32";"20";"2013";"2";"1620";"108";"600";"";"";"";"";"240";"0";"0";
"6";"8";"10";"MÚSICA - NATAL - N - LICENCIATURA";"MÚSICA";"01B";"2930";"690";"76";"99";"20";"2009";"1";"1140";"76";"1100";"";"";"";"";"30";"0";"0";
"12";"24";"30";"";"MESTRADO EM ENGENHARIA TÊXTIL";"TXT17";"360";"120";"24";"";"";"2017";"1";"240";"16";"0";"30";"24";"12";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CIG0507";"2880";"0";"0";"";"";"2012";"1";"0";"0";"2880";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CIG508";"1728";"0";"0";"";"";"2011";"1";"0";"0";"1728";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CIG0501";"1728";"0";"0";"";"";"2011";"2";"0";"0";"1728";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CIG0508";"1728";"0";"0";"";"";"2012";"1";"0";"0";"1728";"";"";"";"";"0";"";"";
"12";"12";"12";"";"RESIDÊNCIA MÉDICA EM CIRURGIA VIDEOLAPAROSCÓPICA";"CIR501";"2880";"2880";"0";"";"";"2005";"1";"0";"0";"0";"";"";"";"";"2880";"";"";
"24";"24";"30";"";"RESIDÊNCIA MÉDICA EM PEDIATRIA";"PDT0001";"5760";"0";"0";"";"";"1974";"1";"0";"0";"5760";"";"";"";"";"2880";"";"";
"9";"9";"14";"HISTÓRIA - NATAL - N - LICENCIATURA";"HISTÓRIA";"2B";"2820";"600";"108";"32";"20";"2013";"2";"1620";"108";"600";"";"";"";"";"60";"0";"0";
"9";"9";"13";"DESIGN - NATAL - MT - BACHARELADO";"DESIGN";"01";"2690";"300";"146";"28";"24";"2009";"2";"2190";"146";"200";"";"";"";"";"180";"0";"0";
"24";"24";"30";"";"RESIDÊNCIA EM CARDIOLOGIA/RESCARD/HUOL";"CARDIO";"1152";"322";"0";"";"";"2016";"1";"830";"0";"0";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"I";"1440";"0";"0";"";"";"2011";"1";"0";"0";"1440";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"II";"1440";"0";"0";"";"";"2011";"2";"0";"0";"1440";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"III";"1440";"0";"0";"";"";"2012";"1";"0";"0";"1440";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"IV";"1440";"0";"0";"";"";"2012";"2";"0";"0";"1440";"";"";"";"";"0";"";"";
"35";"36";"37";"";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"MGO";"1180";"0";"0";"";"";"2012";"1";"0";"0";"1180";"";"";"";"";"0";"";"";
"11";"12";"13";"";"RESIDÊNCIA MÉDICA EM ENDOSCOPIA GINECOLÓGICA";"MEG";"320";"0";"0";"";"";"2012";"1";"0";"0";"320";"";"";"";"";"0";"";"";
"6";"6";"6";"";"PROGRAMA DE RESIDÊNCIA MÉDICA EM PEDIATRIA";"RPD0001";"265";"60";"0";"4";"";"2006";"1";"145";"0";"60";"";"";"";"";"60";"";"";
"58";"60";"72";"";"RESIDÊNCIA MÉDICA EM NEUROCIRURGIA";"NCR0002";"13875";"300";"0";"96";"84";"2008";"1";"135";"0";"13440";"";"";"";"";"1440";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"OFT0001";"156";"96";"0";"22";"20";"2013";"1";"0";"0";"60";"";"";"";"";"1440";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"OFT0002";"96";"96";"0";"22";"20";"2013";"2";"0";"0";"0";"";"";"";"";"1440";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"OFT0003";"156";"96";"0";"22";"20";"2013";"1";"0";"0";"60";"";"";"";"";"1440";"";"";
"1";"1";"6";"";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"OTG005";"60";"0";"0";"";"";"2013";"1";"0";"0";"60";"";"";"";"";"0";"";"";
"24";"24";"24";"";"PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE";"RSF";"877";"307";"0";"";"";"2012";"1";"365";"0";"205";"";"";"";"";"77";"";"";
"24";"24";"24";"";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE";"1";"34";"0";"0";"4";"2";"2014";"1";"34";"0";"0";"";"";"";"";"1260";"";"";
"3";"3";"3";"";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA PEDIÁTRICA";"enp0010";"2";"0";"0";"";"";"2010";"1";"2";"0";"0";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"OFT0004";"216";"96";"8";"22";"20";"2014";"2";"120";"8";"0";"";"";"";"";"1440";"";"";
"12";"12";"12";"";"RESIDÊNCIA MÉDICA EM ANESTESIOLOGIA";"ANE0002";"0";"0";"0";"";"";"2012";"1";"0";"0";"0";"";"";"";"";"0";"";"";
"36";"36";"40";"";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"TESTE";"40";"0";"0";"";"";"2015";"1";"0";"0";"40";"";"";"";"";"0";"";"";
"36";"36";"36";"";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"1A";"891";"0";"0";"1728";"1368";"2015";"1";"891";"0";"0";"";"";"";"";"0";"";"";
"36";"36";"48";"";"RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS";"2016BMF";"9630";"60";"20";"96";"96";"2016";"1";"380";"20";"1210";"";"";"";"";"1440";"";"";
"24";"24";"24";"";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"AB2016";"4165";"0";"0";"";"";"2016";"1";"2203";"0";"1962";"";"";"";"";"0";"";"";
"24";"24";"24";"";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"RMI2016";"4029";"0";"0";"";"";"2016";"1";"2475";"0";"1554";"";"";"";"";"0";"";"";
"24";"24";"36";"";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM";"MFCEMCM";"2880";"0";"0";"";"";"2017";"1";"2880";"0";"0";"";"";"";"";"1440";"";"";
"24";"24";"36";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL/RESCIRG/EMCM";"CIREMCM";"2880";"0";"0";"";"";"2016";"1";"2880";"0";"0";"";"";"";"";"1440";"";"";
"36";"36";"36";"";"RESIDENCIA EM ANESTESIOLOGIA/RESANES/HUAB";"1B";"909";"864";"0";"1728";"1368";"2016";"1";"45";"0";"0";"";"";"";"";"0";"";"";
"5";"6";"7";"";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"CG20161";"3125";"0";"126";"";"";"2016";"1";"1890";"126";"885";"";"";"";"";"1440";"";"";
"24";"24";"24";"";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA PEDIÁTRICA";"ep2016";"5775";"2880";"0";"";"";"2016";"1";"225";"0";"2670";"";"";"";"";"100";"";"350";
"36";"36";"36";"";"RESIDÊNCIA MÉDICA EM INFECTOLOGIA";"INFECTO";"468";"288";"0";"";"";"2016";"1";"0";"0";"180";"";"";"";"";"2880";"";"";
"12";"12";"18";"MEDICINA - CAICÓ - MTN - FORMAÇÃO";"MEDICINA";"01";"7560";"760";"0";"40";"32";"2014";"2";"5580";"0";"840";"";"";"";"";"1";"0";"380";
"9";"9";"12";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA - NATAL - N";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA";"01";"2780";"420";"134";"";"";"2016";"1";"2010";"134";"100";"";"";"";"";"45";"0";"250";
"8";"9";"14";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - N - BACHARELADO";"COMUNICAÇÃO SOCIAL";"01";"2760";"270";"151";"99";"98";"2002";"1";"2265";"151";"225";"";"";"";"";"1";"0";"0";
"8";"9";"14";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - T - BACHARELADO";"COMUNICAÇÃO SOCIAL";"01";"2760";"270";"151";"99";"98";"2005";"1";"2265";"151";"225";"";"";"";"";"1";"0";"0";
"8";"9";"14";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - N - BACHARELADO";"COMUNICAÇÃO SOCIAL";"03";"2715";"450";"136";"99";"98";"2002";"1";"2040";"136";"225";"";"";"";"";"1";"0";"0";
